Подразделение;Название скважины;Дата замера;Тип замера;Минимальное значение замера;Максимальное значение замера;Количество замеров
Восточный участок;Скважина-1-3;01.02.2026;Пластовое давление;150,4533;179,9670;103
Восточный участок;Скважина-1-3;02.02.2026;Давление на приеме насоса;80,3335;99,9722;103
Восточный участок;Скважина-1-3;02.02.2026;Забойное давление;100,4537;149,9355;103
Восточный участок;Скважина-1-3;02.02.2026;Пластовое давление;150,0343;179,7062;103
Восточный участок;Скважина-1-3;03.02.2026;Давление на приеме насоса;80,1797;99,5422;103
Восточный участок;Скважина-1-3;03.02.2026;Забойное давление;100,6498;149,4358;103
Восточный участок;Скважина-1-3;03.02.2026;Пластовое давление;150,5245;179,7216;103
Восточный участок;Скважина-1-4;30.01.2026;Давление на приеме насоса;80,2936;99,8693;103
Восточный участок;Скважина-1-4;30.01.2026;Забойное давление;101,0741;149,9492;103
Восточный участок;Скважина-1-4;30.01.2026;Пластовое давление;150,3106;179,8937;103
Восточный участок;Скважина-1-4;31.01.2026;Давление на приеме насоса;80,0572;99,8722;103
Восточный участок;Скважина-1-4;31.01.2026;Забойное давление;100,1238;149,2772;103
Восточный участок;Скважина-1-4;31.01.2026;Пластовое давление;150,1416;179,9257;103
Восточный участок;Скважина-1-4;01.02.2026;Давление на приеме насоса;80,1114;99,9778;103
Восточный участок;Скважина-1-4;01.02.2026;Забойное давление;100,0057;149,3101;103
Восточный участок;Скважина-1-4;01.02.2026;Пластовое давление;150,6887;179,9489;103
Восточный участок;Скважина-1-4;02.02.2026;Давление на приеме насоса;80,0125;99,8991;103
Восточный участок;Скважина-1-4;02.02.2026;Забойное давление;100,0531;149,9351;103
Восточный участок;Скважина-1-4;02.02.2026;Пластовое давление;150,2520;179,8918;103
Восточный участок;Скважина-1-4;03.02.2026;Давление на приеме насоса;80,0208;99,8723;103
Восточный участок;Скважина-1-4;03.02.2026;Забойное давление;100,4733;149,2558;103
Восточный участок;Скважина-1-4;03.02.2026;Пластовое давление;150,1442;179,6473;103
Восточный участок;Скважина-1-5;30.01.2026;Давление на приеме насоса;80,1685;99,6423;103
Восточный участок;Скважина-1-5;30.01.2026;Забойное давление;100,1179;149,6927;103
Восточный участок;Скважина-1-5;30.01.2026;Пластовое давление;150,2961;179,9541;103
Восточный участок;Скважина-1-5;31.01.2026;Давление на приеме насоса;80,2138;99,9276;103
Восточный участок;Скважина-1-5;31.01.2026;Забойное давление;100,0433;149,8868;103
Восточный участок;Скважина-1-5;31.01.2026;Пластовое давление;150,5075;179,4085;103
Восточный участок;Скважина-1-5;01.02.2026;Давление на приеме насоса;80,1070;99,9308;103
Восточный участок;Скважина-1-5;01.02.2026;Забойное давление;100,7976;149,7495;103
Восточный участок;Скважина-1-5;01.02.2026;Пластовое давление;150,0975;179,3757;103
Восточный участок;Скважина-1-5;02.02.2026;Давление на приеме насоса;80,0287;99,7830;103
Восточный участок;Скважина-1-5;02.02.2026;Забойное давление;100,1180;149,9153;103
Восточный участок;Скважина-1-5;02.02.2026;Пластовое давление;150,0409;179,8805;103
Восточный участок;Скважина-1-5;03.02.2026;Давление на приеме насоса;80,0457;99,7830;103
Восточный участок;Скважина-1-5;03.02.2026;Забойное давление;100,2168;149,7581;103
Восточный участок;Скважина-1-5;03.02.2026;Пластовое давление;150,0207;179,6459;103
Западный участок;Скважина-2-1;30.01.2026;Давление на приеме насоса;80,0383;99,8094;103
Западный участок;Скважина-2-1;30.01.2026;Забойное давление;100,2938;149,9769;103
Западный участок;Скважина-2-1;30.01.2026;Пластовое давление;150,2051;179,7791;103
Западный участок;Скважина-2-1;31.01.2026;Давление на приеме насоса;80,0229;99,8119;103
Западный участок;Скважина-2-1;31.01.2026;Забойное давление;100,0342;149,3257;103
Западный участок;Скважина-2-1;31.01.2026;Пластовое давление;150,0577;179,7939;103
Западный участок;Скважина-2-1;01.02.2026;Давление на приеме насоса;80,3000;99,9518;103
Западный участок;Скважина-2-1;01.02.2026;Забойное давление;101,0306;149,6486;103
Западный участок;Скважина-2-1;01.02.2026;Пластовое давление;150,0119;179,9671;103
Западный участок;Скважина-2-1;02.02.2026;Давление на приеме насоса;80,0145;99,4960;103
Западный участок;Скважина-2-1;02.02.2026;Забойное давление;100,1412;149,7084;103
Западный участок;Скважина-2-1;02.02.2026;Пластовое давление;150,0007;179,6281;103
Западный участок;Скважина-2-1;03.02.2026;Давление на приеме насоса;80,0048;99,6922;103
Западный участок;Скважина-2-1;03.02.2026;Забойное давление;101,4031;149,5443;103
Западный участок;Скважина-2-1;03.02.2026;Пластовое давление;150,7556;179,1396;103
Западный участок;Скважина-2-2;30.01.2026;Давление на приеме насоса;80,9445;99,9702;103
Западный участок;Скважина-2-2;30.01.2026;Забойное давление;100,1437;149,8142;103
Западный участок;Скважина-2-2;30.01.2026;Пластовое давление;150,1237;179,9678;103
Западный участок;Скважина-2-2;31.01.2026;Давление на приеме насоса;80,1804;99,3375;103
Западный участок;Скважина-2-2;31.01.2026;Забойное давление;101,0948;149,7074;103
Западный участок;Скважина-2-2;31.01.2026;Пластовое давление;150,0316;179,5103;103
Западный участок;Скважина-2-2;01.02.2026;Давление на приеме насоса;80,3319;99,6474;103
Западный участок;Скважина-2-2;01.02.2026;Забойное давление;100,8285;149,6637;103
Западный участок;Скважина-2-2;01.02.2026;Пластовое давление;150,1833;179,5069;103
Западный участок;Скважина-2-2;02.02.2026;Давление на приеме насоса;80,1768;99,5719;103
Западный участок;Скважина-2-2;02.02.2026;Забойное давление;101,0942;149,2605;103
Западный участок;Скважина-2-2;02.02.2026;Пластовое давление;150,0576;179,8311;103
Западный участок;Скважина-2-2;03.02.2026;Давление на приеме насоса;80,1045;99,9836;103
Западный участок;Скважина-2-2;03.02.2026;Забойное давление;100,1032;148,9213;103
Западный участок;Скважина-2-2;03.02.2026;Пластовое давление;150,4574;179,8399;103
Западный участок;Скважина-2-3;30.01.2026;Давление на приеме насоса;80,0442;99,9713;103
Западный участок;Скважина-2-3;30.01.2026;Забойное давление;100,0714;149,4379;103
Западный участок;Скважина-2-3;30.01.2026;Пластовое давление;150,3742;179,3960;103
Западный участок;Скважина-2-3;31.01.2026;Давление на приеме насоса;80,0449;99,9916;103
Западный участок;Скважина-2-3;31.01.2026;Забойное давление;100,4121;149,1404;103
Западный участок;Скважина-2-3;31.01.2026;Пластовое давление;150,1018;179,7024;103
Западный участок;Скважина-2-3;01.02.2026;Давление на приеме насоса;80,1038;99,9988;103
Западный участок;Скважина-2-3;01.02.2026;Забойное давление;100,8811;149,9242;103
Западный участок;Скважина-2-3;01.02.2026;Пластовое давление;150,1497;179,9853;103
Западный участок;Скважина-2-3;02.02.2026;Давление на приеме насоса;80,2835;99,9574;103
Западный участок;Скважина-2-3;02.02.2026;Забойное давление;100,7780;149,7640;103
Западный участок;Скважина-2-3;02.02.2026;Пластовое давление;150,0746;178,4572;103
Западный участок;Скважина-2-3;03.02.2026;Давление на приеме насоса;80,0642;99,9202;103
Западный участок;Скважина-2-3;03.02.2026;Забойное давление;101,9186;149,9331;103
Западный участок;Скважина-2-3;03.02.2026;Пластовое давление;150,2747;179,8652;103
Западный участок;Скважина-2-4;30.01.2026;Давление на приеме насоса;80,4102;99,7609;103
Западный участок;Скважина-2-4;30.01.2026;Забойное давление;102,2779;149,7903;103
Западный участок;Скважина-2-4;30.01.2026;Пластовое давление;150,0902;179,1168;103
Западный участок;Скважина-2-4;31.01.2026;Давление на приеме насоса;80,0983;99,8986;103
Западный участок;Скважина-2-4;31.01.2026;Забойное давление;101,9083;149,8600;103
Западный участок;Скважина-2-4;31.01.2026;Пластовое давление;150,0183;179,9120;103
Западный участок;Скважина-2-4;01.02.2026;Давление на приеме насоса;80,0350;99,7273;103
Западный участок;Скважина-2-4;01.02.2026;Забойное давление;100,5564;148,4282;103
Западный участок;Скважина-2-4;01.02.2026;Пластовое давление;151,2779;179,6363;103
Западный участок;Скважина-2-4;02.02.2026;Давление на приеме насоса;80,2689;99,7333;103
Западный участок;Скважина-2-4;02.02.2026;Забойное давление;100,6831;149,7440;103
Западный участок;Скважина-2-4;02.02.2026;Пластовое давление;150,0264;179,0627;103
Западный участок;Скважина-2-4;03.02.2026;Давление на приеме насоса;80,0309;99,7487;103
Западный участок;Скважина-2-4;03.02.2026;Забойное давление;100,3786;149,3153;103
Западный участок;Скважина-2-4;03.02.2026;Пластовое давление;150,4239;179,6182;103
Западный участок;Скважина-2-5;30.01.2026;Давление на приеме насоса;80,5924;99,9518;103
Западный участок;Скважина-2-5;30.01.2026;Забойное давление;100,8623;149,9135;103
Западный участок;Скважина-2-5;30.01.2026;Пластовое давление;150,0415;179,6406;103
Западный участок;Скважина-2-5;31.01.2026;Давление на приеме насоса;80,2179;99,8564;103
Западный участок;Скважина-2-5;31.01.2026;Забойное давление;100,7363;149,1388;103
Западный участок;Скважина-2-5;31.01.2026;Пластовое давление;150,1063;179,2658;103
Западный участок;Скважина-2-5;01.02.2026;Давление на приеме насоса;80,1442;99,9753;103
Западный участок;Скважина-2-5;01.02.2026;Забойное давление;100,9546;149,8318;103
Западный участок;Скважина-2-5;01.02.2026;Пластовое давление;150,4319;179,8952;103
Западный участок;Скважина-2-5;02.02.2026;Давление на приеме насоса;80,0538;99,8965;103
Западный участок;Скважина-2-5;02.02.2026;Забойное давление;100,3148;149,8664;103
Западный участок;Скважина-2-5;02.02.2026;Пластовое давление;150,3122;179,9975;103
Западный участок;Скважина-2-5;03.02.2026;Давление на приеме насоса;80,4238;99,9938;103
Западный участок;Скважина-2-5;03.02.2026;Забойное давление;101,0255;149,8346;103
Западный участок;Скважина-2-5;03.02.2026;Пластовое давление;150,1446;179,4938;103
Северный участок;Скважина-3-1;30.01.2026;Давление на приеме насоса;80,1032;99,7004;103
Северный участок;Скважина-3-1;30.01.2026;Забойное давление;100,0662;149,0930;103
Северный участок;Скважина-3-1;30.01.2026;Пластовое давление;150,0965;178,9747;103
Северный участок;Скважина-3-1;31.01.2026;Давление на приеме насоса;80,0221;99,9499;103
Северный участок;Скважина-3-1;31.01.2026;Забойное давление;100,1179;149,7977;103
Северный участок;Скважина-3-1;31.01.2026;Пластовое давление;150,4309;179,1744;103
Северный участок;Скважина-3-1;01.02.2026;Давление на приеме насоса;80,0100;99,7585;103
Северный участок;Скважина-3-1;01.02.2026;Забойное давление;100,7561;149,9881;103
Северный участок;Скважина-3-1;01.02.2026;Пластовое давление;150,5131;179,9057;103
Северный участок;Скважина-3-1;02.02.2026;Давление на приеме насоса;80,1392;99,9961;103
Северный участок;Скважина-3-1;02.02.2026;Забойное давление;102,0946;149,9454;103
Северный участок;Скважина-3-1;02.02.2026;Пластовое давление;150,0847;179,9516;103
Северный участок;Скважина-3-1;03.02.2026;Давление на приеме насоса;80,3777;99,9978;103
Северный участок;Скважина-3-1;03.02.2026;Забойное давление;100,1713;149,7918;103
Северный участок;Скважина-3-1;03.02.2026;Пластовое давление;150,0425;179,8565;103
Северный участок;Скважина-3-2;30.01.2026;Давление на приеме насоса;80,1154;99,9995;103
Северный участок;Скважина-3-2;30.01.2026;Забойное давление;100,0920;149,8953;103
Северный участок;Скважина-3-2;30.01.2026;Пластовое давление;150,0584;179,9689;103
Северный участок;Скважина-3-2;31.01.2026;Давление на приеме насоса;80,2458;99,8295;103
Северный участок;Скважина-3-2;31.01.2026;Забойное давление;100,2705;149,7032;103
Северный участок;Скважина-3-2;31.01.2026;Пластовое давление;150,2333;179,8635;103
Северный участок;Скважина-3-2;01.02.2026;Давление на приеме насоса;80,0413;99,9745;103
Северный участок;Скважина-3-2;01.02.2026;Забойное давление;100,0050;149,7250;103
Северный участок;Скважина-3-2;01.02.2026;Пластовое давление;150,2736;179,4928;103
Северный участок;Скважина-3-2;02.02.2026;Давление на приеме насоса;80,0998;99,5957;103
Северный участок;Скважина-3-2;02.02.2026;Забойное давление;100,5067;149,5135;103
Северный участок;Скважина-3-2;02.02.2026;Пластовое давление;150,0929;179,3815;103
Северный участок;Скважина-3-2;03.02.2026;Давление на приеме насоса;80,3387;99,4582;103
Северный участок;Скважина-3-2;03.02.2026;Забойное давление;100,7088;149,5922;103
Северный участок;Скважина-3-2;03.02.2026;Пластовое давление;150,2602;179,9561;103
Северный участок;Скважина-3-3;30.01.2026;Давление на приеме насоса;80,1023;99,8911;103
Северный участок;Скважина-3-3;30.01.2026;Забойное давление;100,1300;149,9879;103
Северный участок;Скважина-3-3;30.01.2026;Пластовое давление;150,4951;179,8776;103
Северный участок;Скважина-3-3;31.01.2026;Давление на приеме насоса;80,1159;99,8183;103
Северный участок;Скважина-3-3;31.01.2026;Забойное давление;100,2881;148,9586;103
Северный участок;Скважина-3-3;31.01.2026;Пластовое давление;150,0460;179,8532;103
Северный участок;Скважина-3-3;01.02.2026;Давление на приеме насоса;80,0145;99,8103;103
Северный участок;Скважина-3-3;01.02.2026;Забойное давление;100,0996;149,1937;103
Северный участок;Скважина-3-3;01.02.2026;Пластовое давление;150,6812;178,9543;103
Северный участок;Скважина-3-3;02.02.2026;Давление на приеме насоса;80,3386;99,9468;103
Северный участок;Скважина-3-3;02.02.2026;Забойное давление;100,0587;149,8135;103
Северный участок;Скважина-3-3;02.02.2026;Пластовое давление;150,2797;179,2150;103
Северный участок;Скважина-3-3;03.02.2026;Давление на приеме насоса;80,1160;99,8529;103
Северный участок;Скважина-3-3;03.02.2026;Забойное давление;100,5844;149,9114;103
Северный участок;Скважина-3-3;03.02.2026;Пластовое давление;150,5329;179,9921;103
Северный участок;Скважина-3-4;30.01.2026;Давление на приеме насоса;80,0757;99,9906;103
Северный участок;Скважина-3-4;30.01.2026;Забойное давление;100,3045;149,7376;103
Северный участок;Скважина-3-4;30.01.2026;Пластовое давление;150,0952;179,3162;103
Северный участок;Скважина-3-4;31.01.2026;Давление на приеме насоса;80,1407;99,9681;103
Северный участок;Скважина-3-4;31.01.2026;Забойное давление;100,3694;149,5734;103
Северный участок;Скважина-3-4;31.01.2026;Пластовое давление;150,1030;179,8606;103
Северный участок;Скважина-3-4;01.02.2026;Давление на приеме насоса;80,1229;99,9346;103
Северный участок;Скважина-3-4;01.02.2026;Забойное давление;100,2571;149,5853;103
Северный участок;Скважина-3-4;01.02.2026;Пластовое давление;150,2136;179,9303;103
Северный участок;Скважина-3-4;02.02.2026;Давление на приеме насоса;80,1557;99,9733;103
Северный участок;Скважина-3-4;02.02.2026;Забойное давление;100,9172;149,7386;103
Северный участок;Скважина-3-4;02.02.2026;Пластовое давление;150,8707;179,9378;103
Северный участок;Скважина-3-4;03.02.2026;Давление на приеме насоса;80,0229;99,9319;103
Северный участок;Скважина-3-4;03.02.2026;Забойное давление;100,0234;149,6658;103
Северный участок;Скважина-3-4;03.02.2026;Пластовое давление;150,1905;179,8477;103
Северный участок;Скважина-3-5;30.01.2026;Давление на приеме насоса;80,1851;99,9279;103
Северный участок;Скважина-3-5;30.01.2026;Забойное давление;100,1893;149,4437;103
Северный участок;Скважина-3-5;30.01.2026;Пластовое давление;150,6266;179,8763;103
Северный участок;Скважина-3-5;31.01.2026;Давление на приеме насоса;80,0563;99,6661;103
Северный участок;Скважина-3-5;31.01.2026;Забойное давление;100,5898;149,6638;103
Северный участок;Скважина-3-5;31.01.2026;Пластовое давление;150,2767;179,9672;103
Северный участок;Скважина-3-5;01.02.2026;Давление на приеме насоса;80,1336;99,9211;103
Северный участок;Скважина-3-5;01.02.2026;Забойное давление;100,5955;148,1503;103
Северный участок;Скважина-3-5;01.02.2026;Пластовое давление;150,4280;179,7067;103
Северный участок;Скважина-3-5;02.02.2026;Давление на приеме насоса;80,1228;99,6945;103
Северный участок;Скважина-3-5;02.02.2026;Забойное давление;102,0529;149,9692;103
Северный участок;Скважина-3-5;02.02.2026;Пластовое давление;150,0604;179,9012;103
Северный участок;Скважина-3-5;03.02.2026;Давление на приеме насоса;81,4359;99,9204;103
Северный участок;Скважина-3-5;03.02.2026;Забойное давление;100,2891;149,4346;103
Северный участок;Скважина-3-5;03.02.2026;Пластовое давление;150,0851;179,8359;103
Южный участок;Скважина-4-1;30.01.2026;Давление на приеме насоса;80,2182;99,9548;103
Южный участок;Скважина-4-1;30.01.2026;Забойное давление;100,1827;149,9805;103
Южный участок;Скважина-4-1;30.01.2026;Пластовое давление;150,1631;179,7144;103
Южный участок;Скважина-4-1;31.01.2026;Давление на приеме насоса;80,1253;99,8758;103
Южный участок;Скважина-4-1;31.01.2026;Забойное давление;100,3082;149,6487;103
Южный участок;Скважина-4-1;31.01.2026;Пластовое давление;150,2816;179,4234;103
Южный участок;Скважина-4-1;01.02.2026;Давление на приеме насоса;80,0646;99,7196;103
Южный участок;Скважина-4-1;01.02.2026;Забойное давление;100,3235;149,7012;103
Южный участок;Скважина-4-1;01.02.2026;Пластовое давление;150,2889;179,7171;103
Южный участок;Скважина-4-1;02.02.2026;Давление на приеме насоса;80,0798;99,8200;103
Южный участок;Скважина-4-1;02.02.2026;Забойное давление;100,5813;149,9275;103
Южный участок;Скважина-4-1;02.02.2026;Пластовое давление;150,1660;179,7494;103
Южный участок;Скважина-4-1;03.02.2026;Давление на приеме насоса;80,0370;99,9502;103
Южный участок;Скважина-4-1;03.02.2026;Забойное давление;100,4986;148,7968;103
Южный участок;Скважина-4-1;03.02.2026;Пластовое давление;150,2790;179,1574;103
Южный участок;Скважина-4-2;30.01.2026;Давление на приеме насоса;80,3781;99,8425;103
Южный участок;Скважина-4-2;30.01.2026;Забойное давление;100,7205;149,7208;103
Южный участок;Скважина-4-2;30.01.2026;Пластовое давление;150,6493;179,2278;103
Южный участок;Скважина-4-2;31.01.2026;Давление на приеме насоса;80,1397;99,9938;103
Южный участок;Скважина-4-2;31.01.2026;Забойное давление;100,5333;149,1942;103
Южный участок;Скважина-4-2;31.01.2026;Пластовое давление;151,2129;179,7696;103
Южный участок;Скважина-4-2;01.02.2026;Давление на приеме насоса;80,1710;99,4648;103
Южный участок;Скважина-4-2;01.02.2026;Забойное давление;100,8998;149,9591;103
Южный участок;Скважина-4-2;01.02.2026;Пластовое давление;150,2800;179,7997;103
Южный участок;Скважина-4-2;02.02.2026;Давление на приеме насоса;80,0876;99,7993;103
Южный участок;Скважина-4-2;02.02.2026;Забойное давление;100,8677;148,7509;103
Южный участок;Скважина-4-2;02.02.2026;Пластовое давление;150,6589;179,7596;103
Южный участок;Скважина-4-2;03.02.2026;Давление на приеме насоса;80,0504;99,9307;103
Южный участок;Скважина-4-2;03.02.2026;Забойное давление;100,1466;149,1167;103
Южный участок;Скважина-4-2;03.02.2026;Пластовое давление;150,0742;179,2051;103
Южный участок;Скважина-4-3;30.01.2026;Давление на приеме насоса;80,3468;99,9363;103
Южный участок;Скважина-4-3;30.01.2026;Забойное давление;101,3872;148,9412;103
Южный участок;Скважина-4-3;30.01.2026;Пластовое давление;150,3897;179,7386;103
Южный участок;Скважина-4-3;31.01.2026;Давление на приеме насоса;80,1969;99,7744;103
Южный участок;Скважина-4-3;31.01.2026;Забойное давление;100,3682;149,9161;103
Южный участок;Скважина-4-3;31.01.2026;Пластовое давление;150,1561;179,9653;103
Южный участок;Скважина-4-3;01.02.2026;Давление на приеме насоса;80,0285;99,9452;103
Южный участок;Скважина-4-3;01.02.2026;Забойное давление;100,0753;149,8826;103
Южный участок;Скважина-4-3;01.02.2026;Пластовое давление;150,3226;179,8594;103
Южный участок;Скважина-4-3;02.02.2026;Давление на приеме насоса;80,3061;99,9045;103
Южный участок;Скважина-4-3;02.02.2026;Забойное давление;100,5785;149,9082;103
Южный участок;Скважина-4-3;02.02.2026;Пластовое давление;150,0350;179,7701;103
Южный участок;Скважина-4-3;03.02.2026;Давление на приеме насоса;80,4666;99,5983;103
Южный участок;Скважина-4-3;03.02.2026;Забойное давление;100,1508;149,4987;103
Южный участок;Скважина-4-3;03.02.2026;Пластовое давление;150,3065;179,5263;103
Южный участок;Скважина-4-4;30.01.2026;Давление на приеме насоса;80,9297;99,5605;103
Южный участок;Скважина-4-4;30.01.2026;Забойное давление;101,1072;149,7440;103
Южный участок;Скважина-4-4;30.01.2026;Пластовое давление;150,1746;179,8430;103
Южный участок;Скважина-4-4;31.01.2026;Давление на приеме насоса;80,1231;99,9546;103
Южный участок;Скважина-4-4;31.01.2026;Забойное давление;100,2810;149,7452;103
Южный участок;Скважина-4-4;31.01.2026;Пластовое давление;150,2185;179,8000;103
Южный участок;Скважина-4-4;01.02.2026;Давление на приеме насоса;80,2368;99,9932;103
Южный участок;Скважина-4-4;01.02.2026;Забойное давление;100,4411;149,5744;103
Южный участок;Скважина-4-4;01.02.2026;Пластовое давление;150,1866;179,8757;103
Южный участок;Скважина-4-4;02.02.2026;Давление на приеме насоса;80,0561;99,7313;103
Южный участок;Скважина-4-4;02.02.2026;Забойное давление;100,2013;149,9197;103
Южный участок;Скважина-4-4;02.02.2026;Пластовое давление;150,1345;179,9167;103
Южный участок;Скважина-4-4;03.02.2026;Давление на приеме насоса;80,1077;99,9786;103
Южный участок;Скважина-4-4;03.02.2026;Забойное давление;100,4458;149,6641;103
Южный участок;Скважина-4-4;03.02.2026;Пластовое давление;150,2442;179,7183;103
Южный участок;Скважина-4-5;30.01.2026;Давление на приеме насоса;80,0620;99,9509;103
Южный участок;Скважина-4-5;30.01.2026;Забойное давление;100,0544;149,4690;103
Южный участок;Скважина-4-5;30.01.2026;Пластовое давление;150,3248;179,5423;103
Южный участок;Скважина-4-5;31.01.2026;Давление на приеме насоса;80,5692;99,9692;103
Южный участок;Скважина-4-5;31.01.2026;Забойное давление;101,0794;149,8006;103
Южный участок;Скважина-4-5;31.01.2026;Пластовое давление;150,0024;179,8299;103
Южный участок;Скважина-4-5;01.02.2026;Давление на приеме насоса;80,2125;99,9984;103
Южный участок;Скважина-4-5;01.02.2026;Забойное давление;100,1626;149,1542;103
Южный участок;Скважина-4-5;01.02.2026;Пластовое давление;150,2566;179,9616;103
Южный участок;Скважина-4-5;02.02.2026;Давление на приеме насоса;81,0167;99,9483;103
Южный участок;Скважина-4-5;02.02.2026;Забойное давление;100,6700;149,8567;103
Южный участок;Скважина-4-5;02.02.2026;Пластовое давление;150,1616;179,7984;103
Южный участок;Скважина-4-5;03.02.2026;Давление на приеме насоса;80,7529;99,9730;103
Южный участок;Скважина-4-5;03.02.2026;Забойное давление;100,5742;149,6679;103
Южный участок;Скважина-4-5;03.02.2026;Пластовое давление;150,2330;179,5555;103
